,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,math_grades,reading_grades,writing_grades
0,female,group B,bachelor's degree,standard,none,72,72,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
1,female,group C,some college,standard,completed,69,90,88,Satisfactory(C),Really good(A),Good(B)
2,female,group B,master's degree,standard,none,90,95,93,Really good(A),Really good(A),Really good(A)
3,male,group A,associate's degree,free/reduced,none,47,57,44,Fail(F),Sufficient(D),Fail(F)
4,male,group C,some college,standard,none,76,78,75,Satisfactory(C),Satisfactory(C),Satisfactory(C)
5,female,group B,associate's degree,standard,none,71,83,78,Satisfactory(C),Good(B),Satisfactory(C)
6,female,group B,some college,standard,completed,88,95,92,Good(B),Really good(A),Really good(A)
7,male,group B,some college,free/reduced,none,40,43,39,Fail(F),Fail(F),Fail(F)
8,male,group D,high school,free/reduced,completed,64,64,67,Satisfactory(C),Satisfactory(C),Satisfactory(C)
9,female,group B,high school,free/reduced,none,38,60,50,Fail(F),Sufficient(D),Fail(F)
10,male,group C,associate's degree,standard,none,58,54,52,Sufficient(D),Sufficient(D),Sufficient(D)
11,male,group D,associate's degree,standard,none,40,52,43,Fail(F),Sufficient(D),Fail(F)
12,female,group B,high school,standard,none,65,81,73,Satisfactory(C),Good(B),Satisfactory(C)
13,male,group A,some college,standard,completed,78,72,70,Satisfactory(C),Satisfactory(C),Satisfactory(C)
14,female,group A,master's degree,standard,none,50,53,58,Fail(F),Sufficient(D),Sufficient(D)
15,female,group C,some high school,standard,none,69,75,78,Satisfactory(C),Satisfactory(C),Satisfactory(C)
16,male,group C,high school,standard,none,88,89,86,Good(B),Good(B),Good(B)
17,female,group B,some high school,free/reduced,none,18,32,28,Fail(F),Fail(F),Fail(F)
18,male,group C,master's degree,free/reduced,completed,46,42,46,Fail(F),Fail(F),Fail(F)
19,female,group C,associate's degree,free/reduced,none,54,58,61,Sufficient(D),Sufficient(D),Sufficient(D)
20,male,group D,high school,standard,none,66,69,63,Satisfactory(C),Satisfactory(C),Sufficient(D)
21,female,group B,some college,free/reduced,completed,65,75,70,Satisfactory(C),Satisfactory(C),Satisfactory(C)
22,male,group D,some college,standard,none,44,54,53,Fail(F),Sufficient(D),Sufficient(D)
23,female,group C,some high school,standard,none,69,73,73,Satisfactory(C),Satisfactory(C),Satisfactory(C)
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,Satisfactory(C),Satisfactory(C),Good(B)
25,male,group A,master's degree,free/reduced,none,73,74,72,Satisfactory(C),Satisfactory(C),Satisfactory(C)
26,male,group B,some college,standard,none,69,54,55,Satisfactory(C),Sufficient(D),Sufficient(D)
27,female,group C,bachelor's degree,standard,none,67,69,75,Satisfactory(C),Satisfactory(C),Satisfactory(C)
28,male,group C,high school,standard,none,70,70,65,Satisfactory(C),Satisfactory(C),Satisfactory(C)
29,female,group D,master's degree,standard,none,62,70,75,Sufficient(D),Satisfactory(C),Satisfactory(C)
30,female,group D,some college,standard,none,69,74,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
31,female,group B,some college,standard,none,63,65,61,Sufficient(D),Satisfactory(C),Sufficient(D)
